project_id,state,district,constituency,MP_name,project_name,project_category,sanctioned_amount,released_amount,expenditure,project_status,sanction_date,start_date,completion_date,implementing_agency,contractor,latitude,longitude,beneficiary_count,_demo_injected_issue
MPLAD-2026-00522,Uttar Pradesh,Agra,Agra Constituency 6,Rajesh Sharma,Construction of CC Road,Roads,10593552.43,9214996.25,8966954.99,Completed,2022-11-26,2023-01-10,2023-08-06,Zilla Parishad,Unity Infrastructure,27.332106,80.928871,-285.0,EXTREME_COST
MPLAD-2026-00738,Uttar Pradesh,Agra,Agra Constituency 7,Rajesh Sharma,Construction of CC Road,Roads,4334000.0,3422971.18,1705564.6,Completed,2021-08-06,2021-10-23,2022-06-13,Zilla Parishad,Metro Civil Contractors,26.493496,81.237926,12744.0,NORMAL
MPLAD-2026-00741,Odisha,Khordha,Khordha Constituency 2,Priya Singh,Improvement of Village Road,Roads,4520000.0,3796303.93,2482834.72,Completed,2024-01-25,2024-02-18,2024-07-14,State Water Resources Department,Reliable Infra Solutions,20.621172,85.656725,3215.0,NORMAL
MPLAD-2026-00661,West Bengal,Murshidabad,Murshidabad Constituency 4,Meena Patel,Rural Drinking Water Facility,Drinking Water,2871000.0,2710649.31,2319356.36,Delayed,2022-03-26,2022-04-21,2024-02-14,State Public Works Department,Apex Civil Works,22.598092,88.602262,6037.0,MAJOR_DELAY
MPLAD-2026-00412,Tamil Nadu,Chennai,Chennai Constituency 7,Ramesh Naidu,Construction of Public Facility,Public Facilities,3053000.0,3003420.95,1890530.84,Completed,2024-10-28,2024-12-20,2025-05-31,District Rural Development Agency,Greenfield Contractors,14.117204,80.107423,6085.0,NORMAL
MPLAD-2026-00679,Uttar Pradesh,Varanasi,Varanasi Constituency 8,Priya Singh,Improvement of Village Road,Roads,4406000.0,4353838.48,3447524.83,Completed,2022-07-07,2022-08-23,2023-04-02,District Rural Development Agency,National Projects Ltd,26.60089,81.122512,4587.0,NORMAL
MPLAD-2026-00627,Telangana,Nalgonda,Nalgonda Constituency 7,Sunita Das,Construction of Community Hall,Community Infrastructure,3356000.0,2581345.61,1471414.42,Completed,2021-07-11,2021-08-16,2022-03-11,Rural Development Department,Reliable Infra Solutions,16.487819,78.655025,9179.0,NORMAL
MPLAD-2026-00514,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 1,Naveen Singh,Public Infrastructure Improvement,Public Facilities,4832000.0,4536963.32,4252631.28,Completed,2025-05-20,2025-06-17,2026-01-06,Municipal Corporation,Bharat Construction Co,12.988702,77.648614,10420.0,NORMAL
MPLAD-2026-00860,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 8,Sunita Das,Construction of Community Toilet,Sanitation,4183000.0,3348714.34,2615437.36,Completed,2022-06-09,2022-07-31,2023-01-02,District Administration,Krishna Builders,27.165953,80.750231,5436.0,NORMAL
MPLAD-2026-00137,Maharashtra,Aurangabad,Aurangabad Constituency 8,Naveen Singh,Renovation of Government School,Education,1728000.0,1645407.6,1012488.48,Completed,2025-02-06,2025-04-20,2025-12-01,State Public Works Department,National Projects Ltd,19.599424,,12168.0,DATA_QUALITY
